FileName,ChorusName,MissingLanguages
25_Devude mana kaashrayamunu.xml,c2,hin
266_Mariyaku sutuduga.xml,c2,hin
268_O sadbhaktulara loka.xml,c1,"eng,tel"
289_Priyuni siluvanu preminthun.xml,c1,hin
29_Yehovaa naa devaa.xml,c1,hin
2_Anyajanulela lechi galathu.xml,c1,hin
2_Anyajanulela lechi galathu.xml,c2,hin
301_Meghamumeeda Yesuraju.xml,c2,hin
313_Kaalamu sameepamu prabhu yesu.xml,c2,"eng,tel,hin"
319_Kristu yesu vachunu.xml,c2,hin
31_Sarvaloka nivaasu laara.xml,c1,hin
32_Nee maargamu devaa.xml,c1,"eng,tel,tam"
330_Maharaja Yesu nekai mahima kalugu gaka.xml,c2,hin
348_Prajalara vegame raare.xml,c2,hin
349_Premamrutha dhaarala chindina mana.xml,c2,"eng,tel,hin"
34_Yoodaalo devudu prasiddhudu.xml,c2,hin
351_Randi randi yesuni yoddaku.xml,c2,hin
364_Shubhavartha vintimi.xml,c1,"tam,hin"
365_Immaanuyeluni rakhtamu.xml,c1,"tam,hin"
366_Daagunedi mapunu - vega Yesu.xml,c1,hin
36_Mana balamaina yaakobu devuniki.xml,c1,hin
36_Mana balamaina yaakobu devuniki.xml,c2,hin
37_Sainyamula Yehovaa.xml,c1,hin
384_Mayaloka mayalo nela.xml,c1,hin
385_Vinathi vinathi vinathi triyekuniki.xml,c2,"tam,hin"
38_Prabhu selavitchu daani naala kintunu.xml,c1,"eng,tel,tam"
390_O Paapi jeevapu yootaku raa.xml,c1,hin
403_Entha paapinainanu - Yesu cherchukonunu.xml,c1,hin
431_Nakai chilchabaddayo.xml,c1,"tam,hin"
432_O yesu rakshakaa.xml,c1,hin
437_Sangha mokkate saarvathrika.xml,c2,hin
449_Siyonu vaasu laaraa.xml,c2,"tam,hin"
46_Samastha deshamulaaraa andaru paadudi.xml,c2,hin
476_Nityudesune stutinchu.xml,c2,hin
489_Idigo nenoka nootana kriyanu.xml,c2,"tam,hin"
491_Yehovaayandaanandame.xml,c2,"tam,hin"
496_Shaashwata mainadi prema.xml,c1,hin
496_Shaashwata mainadi prema.xml,c2,"tam,hin"
4_Stutinthun stutinthun naa kaalochana.xml,c2,"eng,tel,hin"
519_Aayana nannu nadupunanu.xml,c1,hin
520_Nadpumaa mahaa Yehovaa.xml,c1,"tam,hin"
521_Yesu mammunu nadipinchu.xml,c1,"tam,hin"
556_Oh sarvashakhtudaa - naa satyadevudaa.xml,c2,"tam,hin"
55_Yehovaa mandiramunaku velludamani.xml,c2,"eng,tel,hin"
566_Shudda aathma digirammu.xml,c1,"eng,tel,hin"
576_Nimpumu O prabhuva.xml,c2,"eng,tel,hin"
58_Sahodarulu yaikyata kalgi.xml,c2,"eng,tel,hin"
591_Yesu naa prabhuva.xml,c1,hin
59_Yehovaa sevakulaaraa stutinchudi.xml,c2,hin
60_Yehovaanu stutinchudi aayana.xml,c1,hin
622_Maa kanugrahinchina daiva.xml,c2,hin
662_Adhikaaramu pondi yuntivi.xml,c2,"eng,tel,hin"
68_Yehovaaku stutulu paadandi - meeru samaja.xml,c1,tam
78_Aadi yantamu leni vaadaa.xml,c2,"eng,tel,hin"
7_Naadu devaa naadu devaa.xml,c2,"tam,hin"
80_Naa priya yesu neeve naa.xml,c1,"eng,tel"
