FileName,MissingLanguages
1001_அதிசயமவரின் நாமமே.xml,"eng,tel,hin"
1002_அநேக மாயிரம் பொன்னைப் பார்க்கிலும்.xml,"eng,tel,hin"
"1003_அலலேலூயா, அலலேலூயா, அலலேலூயா,.xml","eng,tel,hin"
1004_அலலேலூயா ஆ ஆ ஆமென் அலலேலூயா.xml,"eng,tel,hin"
1005_அல்லேலூயா இயேசுவே.xml,"eng,tel,hin"
1006_அவர் அதிசயமான வரே (2).xml,"eng,tel,hin"
1007_அவரே மீட்பரே அல்லேலூயா கூரே.xml,"eng,tel,hin"
1008_அற்புத அற்புத இயேசு யாருமுமக் கொப்பில்லை..xml,"eng,tel,hin"
1009_அற்புத அற்புத இயேசு எனக்கு.xml,"eng,tel,hin"
1010_அன்பாகவே வையும்.xml,"eng,tel,hin"
"1011_ஆத்மாவே துதி, கர்த்தரைத் துதி.xml","eng,tel,hin"
1012_ஆழியின் அகலம் ஆகாயத்துயரமாய்.xml,"eng,tel,hin"
1013_ஆனந்தமே கொள்ளானந்தம் ஆனந்தமே.xml,"eng,tel,hin"
1014_ஆனந்தம் பேரானந்தம்.xml,"eng,tel,hin"
1015_இக்கட்டின் நாட்களுக்கேற்ற.xml,"eng,tel,hin"
"1016_இயேசு என்னும் நாமத்தில், இயேசு என்னும் நாமத்தில்.xml","eng,tel,hin"
1017_இயேசு நாமம் நாமம் இனிய நாமம்.xml,"eng,tel,hin"
1018_இயேசுவின் அன்பு பொங்கு தென்னிலே.xml,"eng,tel,hin"
1019_இயேசுவினழ கென்னில் காணட்டுமே.xml,"eng,tel,hin"
101_Sarvonnatha stalambulo.xml,hin
1020_இயேசுவின் இரத்தத்தினால்.xml,"eng,tel,hin"
1021_இயேசுவின் பின்னே போகத் துணிந்தேன் (3).xml,"eng,tel,hin"
1022_இயேசுவின் வாக்கு நித்தியமாமே.xml,"eng,tel,hin"
1023_இயேசுவேயென் அதிசய இரட்சகர்.xml,"eng,tel,hin"
1024_இயேசுவை நம்பு சோராதே.xml,"eng,tel,hin"
1025_இயேசுவோடு செல்ல.xml,"eng,tel,hin"
"1026_இரத்தத்தால் ஜெயம், இரத்தத்தால் ஜெயம்.xml","eng,tel,hin"
1027_இன்ப இயேசு என் மதுரம்.xml,"eng,tel,hin"
"1028_இன்பமெனக்குண்டு காரணமுண்டு,.xml","eng,tel,hin"
