MasterID,TeluguNo,EnglishNo,TamilNo,HindiNo,TeluguTitle,EnglishTitle,TamilTitle,HindiTitle
1,1,1,1,69,దుష్టుల ఆలోచన చొప్పున,Dustula allochana choppuna,"துன்மார்க்கருடைய ஆலோசனையில் நடவாமலும்,","मुबारक है जो मानता न सलाह शरीरों की, (2)"
2,2,2,2,70,అన్యజనులేల లేచి - గల్లత్తు,Anyajanulela lechi galathu,ஜாதிகள் கொந்தளித்து ஜனங்கள்,"जाति जाति को लोग,"
3,3,3,6,1,యెహోవా మా ప్రభువా,Yehovaa maa prabhuvaa bhoomi,"எங்கள் ஆண்டவராகிய கர்த்தாவே,","यहोवा प्रभु मेरे, भूमि आकाश में,"
4,4,4,8,2,స్తుతింతున్ స్తుతింతున్,Stutinthun stutinthun naa kaalochana,துதிப்பேன் துதிப்பேன்,मुबारक ! मुबारक !
5,5,5,9,3,యెహావా నా బలమా,Yehovaa Naa Balamaa,கர்த்தாவே என் பெலனே,"हे यहोवा, हे बल मेरे, सदा है सच्चे मार्ग तेरे ;"
6,6,6,12,52,యాకోబు దేవుడాపద కాలంబుల,Yaakobu devudaapada kaalambula,"கர்த்தர் ஆபத்து நாளில் ஜெபத்தைக் கேட்பாராக,","दुखों में सदा तेरी यहोवा सुने दुआ,"
7,7,7,13,53,నాదు దేవా నాదు దేవా,Naadu devaa naadu devaa,"என் தேவனே, என் தேவனே,",मेरे खुदा ! मेरे खुदा ! ... तू ने मुझे छोड़ दिया ? (2)
8,8,8,14,4,యెహోవా నా కాపరి,Yehovaa naa kaapari,கர்த்தர் எந்தன் மேய்ப்பராக இருக்கிறார்;,"यहोवा मेरा चरवाहा है, (2)"
9,9,9,15,5,నీవే యెహోవా నా కాపరివి,Neeve Yehovaa naa kaaparivi,கர்த்தர் என் மேய்ப்பராக இருக்கிறார்.,"तू ही यहोवा मेरा चरवाहा, (2)"
10,10,10,16,6,యెహోవా నా కాపరి నాకు లేమి లేదు,Yehovaa naa kaapari naaku lemi ledu,கர்த்தர் என் மேய்ப்பரே,"यहोवा चरवाहा मेरा, कोई घटी मुझे नहीं है ;"
11,11,11,17,7,యేసు ప్రభూ కాపరి నాకు,Yesu prabhoo kapari naaku,கர்த்தர் எனக்கித்தரையில் உத்தம மேய்ப்பரே,"यीशु मेरा चरवाहा है मैं उसका गुण गाता हूँ ,"
12,12,12,18,8,భూమియు దాని సంపూర్ణత లోకము,Bhoomiyu daani sampoornatha lokamu,பூமியும் நிறைவும் உலகமும் அதிலுள்ள,प्रभु यीशु राजा है
13,13,13,20,54,దేవా నీ ముఖమును నాకు,Devaa nee mukhamunu naaku,உமது முகத்தை எனக்கு,"यहोवा अपने मुख को, मुझ से छिपा न रखो,"
14,14,14,19,9,ఉదయ సాయంత్రముల నెల్లవేళల ప్రభువా,Udaya saayanthramula nella velala prabhuvaa,காலையும் மாலை எவ்வேளையும்,"सुबह शाम और हर समय प्रभूजी,"
15,15,15,22,10,యెహోవా నా దేవా నిత్యము,Yehovaa naa devaa nityamu,என் தேவனாகிய கர்த்தாவே,"हे प्रभु यहोवा सर्वदा,"
16,16,16,23,11,ఎవ్వని అతిక్రమములు మన్నింపబడెనో,Yavvani athikramamulu mannimpabaduno,"எவனுடைய மீறுதல் மன்னிக்கப்பட்டதோ,","धन्य है वह जिसके क्षमा हुए अपराध,"
17,17,17,25,12,సన్నుతింతు నెప్పుడెహోవాను,Sannuthinthu neppudehovaanu,"கர்த்தரை எப்போதும் ஸ்தோத்திரிப்பேன்,","सदा प्रभु को धन्य कहूँ मैं,"
18,18,18,0,71,పిల్లలారా నా మాట వినుడి,Pillalara na mata vinudi,,"आओ बच्चों, सुनों, मैं सुनाऊँ,"
19,19,19,26,72,వ్యసనపడకుము నీవు,Vyasana padakumu-neevu,"பொல்லாதவர்களைக் குறித்து எரிச்சலடையாதே,","कुडकुडाना न कभी ... तू ... कुकर्मियों का काम देखकर,"
20,20,20,27,55,యెహోవా నీ కోపము చేత,Yohovaa nee kopamu cheta,கர்த்தாவே உமது கோபத்தில் என்னைக்,"झिड़के क्यों तू कोप में ... मुझ को ऐ खुदा,"
21,21,21,28,56,యెహోవా కొరకు సహనముతో కనిపెట్టన్,Yehovaa koraku sahanamutho,"கர்த்தருக்காகப் பொறுமையுடன் காத்திருந்தேன்,",मैं धीरज से आशा रखके ... यहोवा की करता था इन्ति्जारी ;
22,22,22,29,57,నీటి వాగుల కొరకు దుప్పి ఆశపడునట్లు,Neeti vaagula koraku duppi,மானானது நீரோடைகளை வாஞ்சித்துக் கதறுவது போல்,प्यास में हांफें जैसे हरणी पानी के लिए (2)
23,23,23,30,58,నీ వెలుగు నీ సత్యము బయలు దేరనిమ్ము,Nee velugu nee satyamu bayalu,வெளிச்சத்தையும் சத்தியத்தையும்,"अपनी ज्योति, अपनी सच्चाई ... प्रकट अब होने दे ; (2)"
24,24,24,32,14,కుమారి ఆలకించు - నీ వాలోచించి,Kumaari aalakinchu - nee vaalochinchi,குமாரத்தியே கேள்—நீ உன் செவியைச்,"राजकुमारी तू सुन,(2)"
25,25,25,33,15,దేవుడే మనకాశ్రయమును,Devude mana kaashrayamunu,தேவன் நமக்கடைக்கலமும் பெலனும்,"शरण स्थान और बल हमारा,"
26,26,26,34,16,సర్వజనులారా చప్పట్లు కొట్టి పాడుడి,Sarva janulaaraa chappatlu kotti paadudi,"சகல ஜனங்களே கைகொட்டி ஆர்ப்பரியுங்கள்,","हे देश देश के सब लोगों, तालियाँ बजाओ,"
