FileName,VerseName,MissingLanguages
100_Yesu madhura naamamu.xml,v4,tam
100_Yesu madhura naamamu.xml,o1,"eng,tel,tam,hin"
102_Prabhuni smarinchu.xml,v5,"eng,tel"
102_Prabhuni smarinchu.xml,v6,"eng,tel,hin"
102_Prabhuni smarinchu.xml,v7,"eng,tel,hin"
102_Prabhuni smarinchu.xml,o1,"eng,tel,tam,hin"
103_Harshintunu Harshintunu.xml,v5,hin
103_Harshintunu Harshintunu.xml,o1,"eng,tel,tam,hin"
104_Naa praana priyudaa.xml,v4,hin
104_Naa praana priyudaa.xml,v5,hin
104_Naa praana priyudaa.xml,v6,hin
104_Naa praana priyudaa.xml,v7,"eng,tel,hin"
104_Naa praana priyudaa.xml,o1,"eng,tel,tam,hin"
105_Deva devuni koniyaadedamu.xml,v6,hin
105_Deva devuni koniyaadedamu.xml,v7,hin
105_Deva devuni koniyaadedamu.xml,o1,"eng,tel,tam,hin"
106_Madhura madhuramu yesu.xml,v4,tam
106_Madhura madhuramu yesu.xml,v5,tam
106_Madhura madhuramu yesu.xml,o1,"eng,tel,tam,hin"
108_Jai Jai Jai Jai raajula raajaa.xml,v7,"eng,tel,hin"
108_Jai Jai Jai Jai raajula raajaa.xml,o1,"eng,tel,tam,hin"
109_Yehovaaku paadudi paatan.xml,v7,"eng,tel,hin"
109_Yehovaaku paadudi paatan.xml,v8,"eng,tel,hin"
109_Yehovaaku paadudi paatan.xml,v9,"eng,tel,hin"
109_Yehovaaku paadudi paatan.xml,o1,"eng,tel,tam,hin"
10_Yehovaa naa kaapari naaku lemi ledu.xml,o1,"eng,tel,tam,hin"
110_Yesunaadha thriloka naadha.xml,o1,"eng,tel,tam,hin"
111_Sarvashakhtudu naaku.xml,o1,"eng,tel,tam,hin"
112_Prabho needu mahimanu paadi.xml,v5,"eng,tel"
112_Prabho needu mahimanu paadi.xml,v6,"eng,tel"
112_Prabho needu mahimanu paadi.xml,v7,"eng,tel,tam"
112_Prabho needu mahimanu paadi.xml,o1,"eng,tel,tam,hin"
113_Oh yesu nee prema entho.xml,o1,"eng,tel,tam,hin"
114_O premagala yesu.xml,v6,tam
114_O premagala yesu.xml,v7,tam
114_O premagala yesu.xml,o1,"eng,tel,tam,hin"
115_Halleluya paadudi.xml,o1,"eng,tel,tam,hin"
117_Vandanamo vandana mesayyaa.xml,v7,tam
117_Vandanamo vandana mesayyaa.xml,o1,"eng,tel,tam,hin"
118_Arpinthu stutul nee.xml,o1,"eng,tel,tam,hin"
119_Santoshame santoshame.xml,o1,"eng,tel,tam,hin"
11_Yesu prabhoo kapari naaku.xml,o1,"eng,tel,tam,hin"
122_Hrudaya marpinchedamu.xml,o1,"eng,tel,tam,hin"
