Telugu Number,English Title,Tamil Number,Tamil Title,Hindi Number,Hindi Title
1,,1,"துன்மார்க்கருடைய ஆலோசனையில் நடவாமலும்,",69,"मुबारक है जो मानता न सलाह शरीरों की, (2)"
2,,2,ஜாதிகள் கொந்தளித்து ஜனங்கள்,70,"जाति जाति को लोग,"
3,,6,"எங்கள் ஆண்டவராகிய கர்த்தாவே,",1,"यहोवा प्रभु मेरे, भूमि आकाश में,"
4,,8,துதிப்பேன் துதிப்பேன்,2,मुबारक ! मुबारक !
5,,9,கர்த்தாவே என் பெலனே,3,"हे यहोवा, हे बल मेरे, सदा है सच्चे मार्ग तेरे ;"
6,,12,"கர்த்தர் ஆபத்து நாளில் ஜெபத்தைக் கேட்பாராக,",52,"दुखों में सदा तेरी यहोवा सुने दुआ,"
7,,13,"என் தேவனே, என் தேவனே,",53,मेरे खुदा ! मेरे खुदा ! ... तू ने मुझे छोड़ दिया ? (2)
8,,14,கர்த்தர் எந்தன் மேய்ப்பராக இருக்கிறார்;,4,"यहोवा मेरा चरवाहा है, (2)"
9,,15,கர்த்தர் என் மேய்ப்பராக இருக்கிறார்.,5,"तू ही यहोवा मेरा चरवाहा, (2)"
10,,16,கர்த்தர் என் மேய்ப்பரே,6,"यहोवा चरवाहा मेरा, कोई घटी मुझे नहीं है ;"
11,,17,கர்த்தர் எனக்கித்தரையில் உத்தம மேய்ப்பரே,7,"यीशु मेरा चरवाहा है मैं उसका गुण गाता हूँ ,"
12,,18,பூமியும் நிறைவும் உலகமும் அதிலுள்ள,8,प्रभु यीशु राजा है
13,,20,உமது முகத்தை எனக்கு,54,"यहोवा अपने मुख को, मुझ से छिपा न रखो,"
14,,19,காலையும் மாலை எவ்வேளையும்,9,"सुबह शाम और हर समय प्रभूजी,"
15,,22,என் தேவனாகிய கர்த்தாவே,10,"हे प्रभु यहोवा सर्वदा,"
16,,23,"எவனுடைய மீறுதல் மன்னிக்கப்பட்டதோ,",11,"धन्य है वह जिसके क्षमा हुए अपराध,"
17,,25,"கர்த்தரை எப்போதும் ஸ்தோத்திரிப்பேன்,",12,"सदा प्रभु को धन्य कहूँ मैं,"
18,,0,,71,"आओ बच्चों, सुनों, मैं सुनाऊँ,"
19,,26,"பொல்லாதவர்களைக் குறித்து எரிச்சலடையாதே,",72,"कुडकुडाना न कभी ... तू ... कुकर्मियों का काम देखकर,"
20,,27,கர்த்தாவே உமது கோபத்தில் என்னைக்,55,"झिड़के क्यों तू कोप में ... मुझ को ऐ खुदा,"
21,,28,"கர்த்தருக்காகப் பொறுமையுடன் காத்திருந்தேன்,",56,मैं धीरज से आशा रखके ... यहोवा की करता था इन्ति्जारी ;
22,,29,மானானது நீரோடைகளை வாஞ்சித்துக் கதறுவது போல்,57,प्यास में हांफें जैसे हरणी पानी के लिए (2)
23,,30,வெளிச்சத்தையும் சத்தியத்தையும்,58,"अपनी ज्योति, अपनी सच्चाई ... प्रकट अब होने दे ; (2)"
24,,32,குமாரத்தியே கேள்—நீ உன் செவியைச்,14,"राजकुमारी तू सुन,(2)"
25,,33,தேவன் நமக்கடைக்கலமும் பெலனும்,15,"शरण स्थान और बल हमारा,"
26,,34,"சகல ஜனங்களே கைகொட்டி ஆர்ப்பரியுங்கள்,",16,"हे देश देश के सब लोगों, तालियाँ बजाओ,"
27,,35,கர்த்தர் பெரியவர் அவர் நமது,17,"परमेश्वर अपने पवित्र नगर,"
28,,36,ஜனங்களே இதைக் கேளுங்கள்,73,"सब देश के निवासियों, तुम कान लगाकर सुनो"
29,,37,தேவனே உமது—கிருபையின்படி,59,"दया करके हे प्रभु ... पाप मिटा सब मेरे,"
30,,40,தேவனே நீரே என் தேவன் அதி,60,ढूंढूँगा मैं यत्न से ... तू ही है मेरा ईश्वर  (2)
31,,41,பூமியின் குடிகளே நீங்கள் எல்லாரும் பாடுங்கள்,19,"रहेगा नाम सदा बना मसीह का,"
32,,42,"தேவனே பூமியிலே உம்முடைய வழியும்,",61,ईश्वर हम पर अनुग्रह करे ... आशीष हम को देवे ;
33,,43,"கிறிஸ்துவின் நாமம் என்றென்றைக்கும் இருக்கும்,",19,"रहेगा नाम सदा बना मसीह का,"
34,,44,யூதாவில் தேவன் அறியப்பட்டவ் —இஸ்ர,20,परमेश्वर यहुदा में जाना गया है; (2)
35,,0,,62,"चिल्ला चिल्ला कर यहोवा की दोहाई दूंगा,"
36,,45,நம் பெலனாகிய தேவனைப் பாடுங்கள்,21,"जय गाओ प्रभु की वही बल है, याकूब के परमेश्वर की करो जय जय,"
37,,46,சேனைகளின் கர்த்தாவே உமது வாசஸ்தலங்கள்,22,"हे सेनाओं के यहोवा, निवास तेरे प्रिय हैं,"
38,,47,கர்த்தராகிய தேவன் விளம்புவதைக் கேட்பேன்;,63,मैं कान लगाकर सु्नूंगा ... यहोवा क्या कहे ; (2)
39,,48,எங்களுக்குத் தலைமுறை,23,"हे प्रभु तू ही पीढ़ी से ... धाम हमारा सदा बना है,"
40,,49,தேவரீர் தலைமுறையாகவே,24,"पीढी से पीढ़ी ... तू ही यहोवा, बना हमारा है धाम  (2)"
41,,50,உன்னதமானவரின்,74,हे यहोवा तू मेरा शरण स्थान है ;
42,,51,உன்னதமானவரின் மறைவிலிருக்கிறவன்,25,"परम प्रधान के स्थानों में, जो बैठा रहेगा;"
43,,52,கர்த்தரைத் துதிப்பதும் உன்னதமானவரே உமது,26,"यहोवा का धन्यवाद है करना कैसा भला, (2)"
44,,53,கர்த்தரைக் கெம்பீரமாய்ப் பாடி,27,"यहोवा के लिए गाऍं,"
45,,54,கர்த்தருக்குப் புதுப்பாட்டைப் பாடுங்கள்.,28,यहोवा के लिए नया गीत गाओ; (2)
46,,55,பூமியின் குடிகளே எல்லாரும் பாடுங்கள்,29,"यहोवा का जय जयकार हे सारी पृथ्वी करो,"
47,,56,"சகல ஜனங்களே எல்லாரும்,",30,"हे सारी पृथ्वी के लोगों, यहोवा की स्तुति तुम करो,"
48,,58,என் ஆத்துமாவே கர்த்தரை ஸ்தோத்திரி,32,"स्तुति प्रभु की, करो स्तुति प्रभु की ... तुम"
49,,60,"ஜனங்களின் சபையிலே கர்த்தரை உயர்த்தி,",33,"बहती नदियों को यहोवा बियावान बनाता है,"
50,,61,தேவனே என் இருதயம்,34,"हे ईश्वर मेरा हृदय, स्थिर है मै गाऊँगा ;"
51,,62,துதிப்பேன் கர்த்தரைச் சபையில்,35,"स्तुति करो तुम याह की (२), तुम स्तुति करो  (2)"
52,,67,கர்த்தாவே உமது வசனத்தின்படி,36,"हजारों रूपयों और मुहरों से भली, (2)"
53,,0,,64,संकट में मैंने प्रभु से विनती की  (2)
54,,68,ஒத்தாசை வரும் பர்வதங்களுக்கே,65,"आँखें पर्वत की तरफ लगाऊँ, ... मदद कहाँ से अपनी मैं पाऊँ ?"
55,,69,கர்த்தரின் ஆலயத்திற்குப்,37,"जब लोगों ने कहा मैं हुआ प्रसन्न, (2)"
56,,71,கர்த்தர் வீட்டைக் கட்டாராகில்,76,"यदि यहोवा घर न बनाए,"
57,,74,கர்த்தாவே ஆழங்களிலிருந்தும்மை,66,हे यहोवा गहरे स्थानों से ... तुझ को मैंने पुकारा है ;
58,,75,இதோ சகோதரர் ஒருமித்து,77,"देख क्या है भली बात यह है ... और खूब मनोहर भी, (2)"
59,,76,கர்த்தரின் ஊழியக்காரரே அவரின்,38,"यहोवा के सेवकों स्तुति करो,"
60,,77,கர்த்தரைத் துதியுங்கள் அவர் நல்லவர்,39,यहोवा की स्तुति करो की वह भला है
61,,80,கர்த்தாவே நீர் என்னை ஆராய்ந்திருக்கிறீர்,68,"यहोवा तू ने मुझ को, जाँच परख कर जान लिया है,"
62,,85,கர்த்தர் மிகுந்த இரக்கமும்,40,"यहोवा अनुग्रहकारी ... और दयालु भी है,"
63,,84,என் தேவனாகிய ராஜா உம்மையே நான் துதிப்பேன்,41,"हे ईश्वर मेरे राजा, मैं तुझ को सराहूँगा; (2)"
64,,86,அல்லேலூயா என் ஆத்துமாவே கர்த்தரைத் துதி,43,"हल्लेलूयाह, स्तुति करो हरदम ... यहोवा की  (2)"
65,,87,தேவனைத் துதிப்பதும்,44,"ईश्वर की स्तुति, तुम करो, स्तुति गाना है भला"
66,,88,"துதியுங்கள் வானங்களில் உள்ளவைகளே,",45,"स्तुति करो याह की स्वर्ग निवासियों,"
67,,89,வானங்களிலுள்ள சூரிய சந்திரரே,46,"याह की स्तुति, स्तुति ईश्वर की, सूर्य और चन्द्रमा,"
68,,91,அல்லேலூயா கர்த்தருக்குப்,48,"यहोवा की स्तुति सब गाएँ, गाएँ,"
69,,0,,49,"यहोवा के लिए एक नया गीत गाओ,"
70,,93,தேவனைத் துதியுங்கள் அல்லேலூயா,50,रब्ब की होवे सना हमेशा ...
71,,92,அல்லேலூயா கர்த்தரையே ஏகமாய்த் துதியுங்கள்,51,"हल्लेलूयाह ! यीशु प्रभु,s1.तुम सब स्तुति करो ;"
72,,90,துதியுங்கள் நீங்கள் துதியுங்கள் 2,47,"स्तुति करो तुम, स्तुति करो, (2)"
73,,70,சீயோனின் சிறையிருப்பைக் கர்த்தர் திருப்பும்போது,75,"सिय्योन की बन्धुवाई को, लौटा ले आया जब प्रभु ;"
74,,,,,
75,,,,,
76,,98,ஆதியும் அந்தமுமில்லாத ஜோதி,78,"आदि और अन्त है तू जग की ज्योति, चरणों में तेरे आते हम,"
77,,0,,121,आओ उस के मन्दिर में यहोवा प्रभु की करो स्तुति ; (2)
78,,100,ஆதியந்த மில்லோனே!,176,"आदि और अन्त रहित है, हे ईश्वर तू परिपूर्ण है,"
79,,151,"கல்வாரியின் தங்கமே,",243,"यीशु सूलीवाला है, सोने मुखड़ेवाला है,"
